Target_variable,Algorithm,PCA_not,transform,home_away,train_error,rmse,max_error,mae,r^2,best_params
PTS,RF,PCA,standard,not_need,not_need,13.02,45.71,10.16,0.19,not_need
pointspread,Ridge,PCA,minmax,away,-9.42,12.74,48.49,9.99,0.2,"{'alpha': 0.0001, 'fit_intercept': False, 'solver': 'sparse_cg'}"
pointspread,Ridge,PCA,minmax,home,-9.42,12.73,48.33,9.98,0.2,"{'alpha': 1, 'fit_intercept': True, 'solver': 'sparse_cg'}"
pointspread,Ridge,PCA,minmax,not_need,not_need,12.73,48.49,9.98,0.23,not_need
PTS,Ridge,PCA,minmax,not_need,not_need,12.87,46.68,10.09,0.21,not_need
pointspread,Ridge,PCA,standard,away,-9.38,12.68,47.15,9.9,0.21,"{'alpha': 0.0001, 'fit_intercept': False, 'solver': 'lsqr'}"
pointspread,Ridge,PCA,standard,home,-9.38,12.68,47.19,9.91,0.21,"{'alpha': 0.0001, 'fit_intercept': False, 'solver': 'lsqr'}"
pointspread,Ridge,PCA,standard,not_need,not_need,12.68,47.19,9.91,0.24,not_need
PTS,Ridge,PCA,standard,not_need,not_need,12.87,46.79,10.09,0.21,not_need
pointspread,SGD,PCA,minmax,away,-9.39,12.7,47.53,9.94,0.21,"{'alpha': 0.01, 'fit_intercept': False, 'learning_rate': 'adaptive', 'penalty': 'l1'}"
pointspread,SGD,PCA,minmax,home,-9.39,12.7,47.07,9.93,0.21,"{'alpha': 0.01, 'fit_intercept': False, 'learning_rate': 'adaptive', 'penalty': 'l1'}"
pointspread,SGD,PCA,minmax,not_need,not_need,12.7,47.53,9.94,0.23,not_need
PTS,SGD,PCA,minmax,not_need,not_need,12.85,47.29,10.07,0.21,not_need
pointspread,SGD,PCA,standard,away,-1630969.04,2205012.79,7388821.54,1778159.2,-23921573456,"{'alpha': 100, 'fit_intercept': False, 'learning_rate': 'optimal', 'penalty': 'l2'}"
pointspread,SGD,PCA,standard,home,-1761946.97,1617941.12,6281850,1288917.47,-12879320208,"{'alpha': 100, 'fit_intercept': False, 'learning_rate': 'optimal', 'penalty': 'l2'}"
pointspread,SGD,PCA,standard,not_need,not_need,1933884.03,7388821.54,1533538.34,-17806138374,not_need
PTS,SGD,PCA,standard,not_need,not_need,1003100.95,3143326.32,802033.53,-4790691158,not_need
pointspread,SVM,PCA,minmax,away,-9.44,12.79,48.51,9.98,0.2,"{'C': 10, 'kernel': 'linear'}/nrooted_mean_squared_error:12.78770867924297/nmax_error:48.50871450508283/nmean_absolute_error:9.983085677229322/nr2_score:0.19545010002169672"
pointspread,SVM,PCA,minmax,home,-9.48,12.76,48.22,9.99,0.2,"{'C': 1, 'kernel': 'linear'}/nrooted_mean_squared_error:12.76026679809193/nmax_error:48.220248838054665/nmean_absolute_error:9.992504233792836/nr2_score:0.19889945497227923"
pointspread,SVM,PCA,minmax,not_need,not_need,12.77,48.51,9.99,0.22,not_need
PTS,SVM,PCA,minmax,not_need,not_need,12.85,46.34,10.05,0.21,not_need
pointspread,SVM,PCA,standard,away,-9.44,12.78,47.95,9.97,0.2,"{'C': 0.1, 'kernel': 'linear'}/nrooted_mean_squared_error:12.779975591263835/nmax_error:47.95400164805639/nmean_absolute_error:9.973544897715435/nr2_score:0.19642287381737855"
pointspread,SVM,PCA,standard,home,-9.49,12.75,48.09,9.96,0.2,"{'C': 0.1, 'kernel': 'linear'}/nrooted_mean_squared_error:12.751964250950854/nmax_error:48.08539576951652/nmean_absolute_error:9.960257901415217/nr2_score:0.19994159795107314"
pointspread,SVM,PCA,standard,not_need,not_need,12.77,48.09,9.97,0.22,not_need
PTS,SVM,PCA,standard,not_need,not_need,12.85,45.99,10.06,0.21,not_need
